URL,Effect,ID,Title,Price,Cost,Color,Types,Attributes,Rarity,Card Type,Power,Source,ID
https://onepiece.gg/cards/ST20-005-charlotte-linlin/,"[On Play] You may trash 1 card from your hand: Your opponent chooses one:
• Your opponent trashes 2 cards from their hand.
• Trash 1 card from the top of your opponent's Life cards.",ST20-005,Charlotte Linlin,N/A,6,Yellow,The Four EmperorsBig Mom Pirates,Special,Super Rare,CHARACTER,7000,-Yellow Charlotte Katakuri- [ST-20],ST20
https://onepiece.gg/cards/ST20-004-charlotte-pudding/,[On Play] You may add 1 card from the top of your Life cards to your hand: Set up to 1 of your {Big Mom Pirates} type Characters with a cost of 3 or less as active.,ST20-004,Charlotte Pudding,N/A,3,Yellow,Big Mom Pirates,Wisdom,Common,CHARACTER,2000,-Yellow Charlotte Katakuri- [ST-20],ST20
https://onepiece.gg/cards/ST20-003-charlotte-brulee/,,ST20-003,Charlotte Brulee,N/A,3,Yellow,Big Mom Pirates,Special,Common,CHARACTER,3000,-Yellow Charlotte Katakuri- [ST-20],ST20
https://onepiece.gg/cards/ST20-002-charlotte-cracker/,"[Once Per Turn] If this Character would be K.O.'d by an effect, you may trash 1 card from the top of your Life cards instead.",ST20-002,Charlotte Cracker,N/A,4,Yellow,Big Mom Pirates,Slash,Common,CHARACTER,5000,-Yellow Charlotte Katakuri- [ST-20],ST20
https://onepiece.gg/cards/ST20-001-charlotte-katakuri/,"[Blocker] (After your opponent declares an attack, you may rest this card to make it the new target of the attack.)
[Activate: Main] [Once Per Turn] You may turn 1 card from the top of your Life cards face-up: Give up to 1 rested DON!! card to your Leader or 1 of your Characters.",ST20-001,Charlotte Katakuri,N/A,5,Yellow,Big Mom Pirates,Strike,Super Rare,CHARACTER,6000,-Yellow Charlotte Katakuri- [ST-20],ST20
https://onepiece.gg/cards/ST19-005-monkeydgarp/,"[Blocker] (After your opponent declares an attack, you may rest this card to make it the new target of the attack.)
[Activate: Main] [Once Per Turn] You may place 1 card from your trash at the bottom of your deck: Give up to 1 of your opponent's Characters −1 cost during this turn.",ST19-005,Monkey.D.Garp,N/A,3,Black,Navy,Strike,Common,CHARACTER,4000,-Black Smoker- [ST-19],ST19
https://onepiece.gg/cards/ST19-004-hina/,"[DON!! x1] [Opponent's Turn] This Character gains +4 cost.
[Activate: Main] [Once Per Turn] You may place 1 card from your trash at the bottom of your deck: Give up to 1 rested DON!! card to your Leader or 1 of your Characters.",ST19-004,Hina,N/A,4,Black,Navy,Special,Super Rare,CHARACTER,6000,-Black Smoker- [ST-19],ST19
https://onepiece.gg/cards/ST19-003-tashigi/,"[On Play] If your Leader is [Smoker], give up to 1 of your opponent's Characters −4 cost during this turn.
[Activate: Main] [Once Per Turn] If this Character was played on this turn, trash up to 1 of your opponent's Characters with a cost of 0.",ST19-003,Tashigi,N/A,5,Black,Navy,Slash,Super Rare,CHARACTER,6000,-Black Smoker- [ST-19],ST19
https://onepiece.gg/cards/ST19-002-sengoku/,"[On Play] You may trash 2 black {Navy} type cards from your hand: If your Leader has the {Navy} type, draw 3 cards.",ST19-002,Sengoku,N/A,1,Black,Navy,Wisdom,Common,CHARACTER,1000,-Black Smoker- [ST-19],ST19
https://onepiece.gg/cards/ST19-001-smoker/,[On Play] You may trash 1 black {Navy} type card from your hand: Up to 2 of your opponent's Characters with a cost of 4 or less cannot attack until the end of your opponent's next turn.,ST19-001,Smoker,N/A,6,Black,Navy,Special,Common,CHARACTER,8000,-Black Smoker- [ST-19],ST19
